deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,pr_auc,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
44,0.6771940298507462,0.7239583333333334,0.6830202784786468,0.7174319767622963,0.5223880597014925,0.625,0.832,0.6417810655861139,0.4545454545454545,0.0227272727272727,,,,pima,lr,37,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6396417910447761,0.7291666666666666,0.6437847866419295,0.6964672232529376,0.3432835820895522,0.7419354838709677,0.936,0.640569660836848,,,0.0,44.0,,pima,lr,37,symmetric,0.2,0.2,0.1,0.15,smote
0,0.6789850746268657,0.640625,0.6384180790960452,0.646951506591337,0.8059701492537313,0.4909090909090909,0.552,0.637255191419313,,,0.0,44.0,,pima,lr,37,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5373134328358209,0.6770833333333334,0.4700854700854701,0.5701344373219374,0.0746268656716417,1.0,1.0,0.6357734236130688,,,0.0,0.0,,pima,lr,41,symmetric,0.2,0.2,0.1,0.15,no_cleaning
44,0.644955223880597,0.7135416666666666,0.6515196515196515,0.6959304771804772,0.417910447761194,0.6363636363636364,0.872,0.638980210495895,0.2954545454545454,0.0454545454545454,,,,pima,lr,41,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.5735522388059702,0.6927083333333334,0.5465716687347396,0.6243324627413308,0.1791044776119403,0.75,0.968,0.6364787554148806,,,0.0,44.0,,pima,lr,41,symmetric,0.2,0.2,0.1,0.15,smote
0,0.6702089552238806,0.65625,0.6476476476476476,0.6642788621955288,0.7164179104477612,0.5052631578947369,0.624,0.6067197273828431,,,0.0,44.0,,pima,lr,41,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.6407164179104478,0.7395833333333334,0.642644431209053,0.6988689944411356,0.3134328358208955,0.84,0.968,0.7263174434832249,,,0.0,0.0,,pima,lr,43,symmetric,0.2,0.2,0.1,0.15,no_cleaning
44,0.7288955223880597,0.7552083333333334,0.7296827726687236,0.7547756967118993,0.6417910447761194,0.6515151515151515,0.816,0.7000552843666557,0.2954545454545454,0.1136363636363636,,,,pima,lr,43,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.7206567164179105,0.7760416666666666,0.7331178277032488,0.7654500700393299,0.5373134328358209,0.75,0.904,0.731281751217933,,,0.0,44.0,,pima,lr,43,symmetric,0.2,0.2,0.1,0.15,smote
0,0.7626865671641792,0.7135416666666666,0.7122223736203843,0.7181084502884135,0.9253731343283582,0.5535714285714286,0.6,0.7163570487305878,,,0.0,44.0,,pima,lr,43,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5597014925373134,0.6927083333333334,0.5111974110032362,0.6011771844660195,0.1194029850746268,1.0,1.0,0.7408900066979119,,,0.0,0.0,,pima,lr,47,symmetric,0.2,0.2,0.1,0.15,no_cleaning
44,0.7046567164179105,0.7552083333333334,0.7138417631203424,0.7467083531525818,0.5373134328358209,0.6923076923076923,0.872,0.7479405913025395,0.3636363636363636,0.0454545454545454,,,,pima,lr,47,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6154029850746269,0.7291666666666666,0.6038095238095238,0.6711309523809524,0.2388059701492537,0.9411764705882352,0.992,0.7327318815589333,,,0.0,44.0,,pima,lr,47,symmetric,0.2,0.2,0.1,0.15,smote
0,0.721910447761194,0.6875,0.6840719613865731,0.6940132733655112,0.835820895522388,0.5333333333333333,0.608,0.748102661780101,,,0.0,44.0,,pima,lr,47,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5684776119402986,0.6770833333333334,0.5501133786848073,0.6223119803476946,0.208955223880597,0.6086956521739131,0.928,0.5609056096331426,,,0.0,0.0,,pima,lr,53,symmetric,0.2,0.2,0.1,0.15,no_cleaning
44,0.6846567164179105,0.7291666666666666,0.6903225806451614,0.7234543010752689,0.5373134328358209,0.631578947368421,0.832,0.5589780661835031,0.3863636363636363,0.0227272727272727,,,,pima,lr,53,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6265671641791045,0.703125,0.6307567731704848,0.6801374455953305,0.373134328358209,0.625,0.88,0.5680099066883024,,,0.0,44.0,,pima,lr,53,symmetric,0.2,0.2,0.1,0.15,smote
0,0.6888358208955223,0.6354166666666666,0.6350602802215706,0.6385053491908331,0.8656716417910447,0.4873949579831932,0.512,0.5582728393800674,,,0.0,44.0,,pima,lr,53,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5780952380952381,0.74,0.5633950401676563,0.6744673419490045,0.1733333333333333,0.8125,0.9828571428571428,0.6346598541999416,,,0.0,0.0,,credit-g,lr,13,symmetric,0.2,0.2,0.1,0.15,no_cleaning
62,0.6933333333333334,0.752,0.6976435705368289,0.7489232209737827,0.5466666666666666,0.5942028985507246,0.84,0.6501241691746215,0.3387096774193548,0.0483870967741935,,,,credit-g,lr,13,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6390476190476191,0.756,0.6512771260661773,0.7277171800324712,0.3466666666666667,0.6842105263157895,0.9314285714285714,0.6173669887967443,,,0.0,62.0,,credit-g,lr,13,symmetric,0.2,0.2,0.1,0.15,smote
0,0.7104761904761905,0.68,0.6655294668539702,0.6933574152117199,0.7866666666666666,0.4796747967479675,0.6342857142857142,0.6340168889894349,,,0.0,62.0,,credit-g,lr,13,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5723809523809523,0.716,0.5659191509134038,0.6680149666185713,0.2133333333333333,0.5714285714285714,0.9314285714285714,0.5026190907874927,,,0.0,0.0,,credit-g,lr,17,symmetric,0.2,0.2,0.1,0.15,no_cleaning
62,0.621904761904762,0.684,0.6223637163234479,0.6833897397655786,0.4666666666666667,0.4729729729729729,0.7771428571428571,0.4878996696040235,0.2258064516129032,0.1290322580645161,,,,credit-g,lr,17,symmetric,0.2,0.2,0.1,0.15,class_proportional
0,0.6095238095238096,0.704,0.6153846153846154,0.6892307692307693,0.3733333333333333,0.509090909090909,0.8457142857142858,0.512647717248568,,,0.0,62.0,,credit-g,lr,17,symmetric,0.2,0.2,0.1,0.15,smote
0,0.6161904761904762,0.596,0.5798598978352385,0.6127988818449559,0.6666666666666666,0.3968253968253968,0.5657142857142857,0.4838523147675147,,,0.0,62.0,,credit-g,lr,17,symmetric,0.2,0.2,0.1,0.15,cwms_msbs
0,0.5523809523809524,0.72,0.5257452574525745,0.6471544715447154,0.1333333333333333,0.6666666666666666,0.9714285714285714,0.4437632985025891,,,0.0,0.0,,credit-g,lr,23,symmetric,0.2,0.2,0.1,0.15,no_cleaning
