deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.6409523809523809,0.668,0.6290602263179534,0.6771340209871467,0.5733333333333334,0.4574468085106383,0.7085714285714285,,,0.0,62.0,,credit-g,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.6057142857142856,0.736,0.6102607709750567,0.6988095238095238,0.28,0.6363636363636364,0.9314285714285714,,,0.0,62.0,,credit-g,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.6133333333333333,0.736,0.6203055964653903,0.7041421207658322,0.30666666666666664,0.6216216216216216,0.92,,,0.0,62.0,,credit-g,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5304761904761905,0.716,0.4770028580688883,0.618421285247061,0.06666666666666667,0.8333333333333334,0.9942857142857143,,,0.0,0.0,,credit-g,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.6104761904761905,0.716,0.6172176575877165,0.6949990295658925,0.3466666666666667,0.5416666666666666,0.8742857142857143,0.25806451612903225,0.04838709677419355,,,,credit-g,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6466666666666667,0.66,0.6283080582812964,0.6717216770740411,0.6133333333333333,0.45098039215686275,0.68,,,0.0,62.0,,credit-g,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.58,0.732,0.5715126243892457,0.6764063339387583,0.2,0.6818181818181818,0.96,,,0.0,62.0,,credit-g,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_knn
0,0.5942857142857143,0.736,0.5935560153709725,0.6898019509311262,0.24,0.6666666666666666,0.9485714285714286,,,0.0,62.0,,credit-g,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs_crossfamily
0,0.5533333333333333,0.716,0.5310559826688859,0.6488547198224618,0.14666666666666667,0.6111111111111112,0.96,,,0.0,0.0,,credit-g,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
62,0.5914285714285714,0.684,0.5953780910040769,0.6711233123681138,0.36,0.46551724137931033,0.8228571428571428,0.22580645161290322,0.04838709677419355,,,,credit-g,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
