deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,method
0,0.5258507462686567,0.45299145299145294,0.05970149253731343,,,0,0,,pima,lr,89,no_cleaning
44,0.6718805970149254,0.6814863968148639,0.44776119402985076,0.4772727272727273,0.0,0,0,,pima,lr,89,class_proportional
0,0.6942089552238806,0.6761133603238867,0.7164179104477612,,,0,269,,pima,lr,89,plain_smote
0,0.7027462686567164,0.6889406815791718,0.7014925373134329,,,0,273,,pima,lr,89,oof_filtered_smote
0,0.5666268656716418,0.5298609670056028,0.14925373134328357,,,0,0,,pima,lr,97,no_cleaning
44,0.6838805970149254,0.6955362866493471,0.44776119402985076,0.29545454545454547,0.045454545454545456,0,0,,pima,lr,97,class_proportional
0,0.7216716417910447,0.705989110707804,0.7313432835820896,,,0,259,,pima,lr,97,plain_smote
0,0.7187462686567164,0.7079135451649015,0.7014925373134329,,,0,263,,pima,lr,97,oof_filtered_smote
0,0.5522388059701493,0.4978204010462075,0.1044776119402985,,,0,0,,pima,lr,101,no_cleaning
44,0.6844179104477612,0.6967032967032967,0.43283582089552236,0.3409090909090909,0.022727272727272728,0,0,,pima,lr,101,class_proportional
0,0.6862089552238806,0.66662932676151,0.7164179104477612,,,0,273,,pima,lr,101,plain_smote
0,0.6947462686567164,0.6794839147780325,0.7014925373134329,,,0,277,,pima,lr,101,oof_filtered_smote
