budget,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
0.1,ecoli,lr,class_proportional,0.8216,0.0559,0.82,0.0534,0.7263,0.1141,0.487,0.1167,0.0,0.0
0.1,ecoli,lr,crcc_m,0.8216,0.0392,0.8199,0.0336,0.7263,0.0942,0.4,0.1083,0.0,0.0
0.1,ecoli,lr,crcc_p_l0,0.8216,0.0559,0.82,0.0534,0.7263,0.1141,0.487,0.1167,0.0,0.0
0.1,ecoli,lr,crcc_p_l025,0.8216,0.0559,0.82,0.0534,0.7263,0.1141,0.487,0.1167,0.0,0.0
0.1,ecoli,lr,crcc_p_l05,0.8216,0.0559,0.82,0.0534,0.7263,0.1141,0.487,0.1167,0.0,0.0
0.1,ecoli,lr,crcc_p_l10,0.8216,0.0559,0.82,0.0534,0.7263,0.1141,0.487,0.1167,0.0,0.0
0.1,ecoli,lr,global_top_loss,0.6632,0.0754,0.6942,0.088,0.3263,0.1507,0.7652,0.1091,0.2348,0.1091
0.1,ecoli,lr,no_cleaning,0.6353,0.0639,0.659,0.0821,0.2737,0.1257,0.0,0.0,0.0,0.0
0.1,ecoli,lr,oracle_deletion,0.8171,0.0754,0.8483,0.0687,0.6526,0.147,1.0,0.0,0.0,0.0
0.1,ecoli,lr,random_deletion,0.6579,0.1085,0.679,0.1337,0.3158,0.217,0.087,0.0435,0.1043,0.1134
0.1,phoneme,hgb,class_proportional,0.7771,0.014,0.7931,0.0151,0.6273,0.0206,0.4142,0.0313,0.0237,0.0047
0.1,phoneme,hgb,crcc_m,0.7794,0.0197,0.7936,0.0203,0.6374,0.0301,0.346,0.0304,0.0077,0.0062
0.1,phoneme,hgb,crcc_p_l0,0.7771,0.014,0.7931,0.0151,0.6273,0.0206,0.4142,0.0313,0.0237,0.0047
0.1,phoneme,hgb,crcc_p_l025,0.7771,0.014,0.7931,0.0151,0.6273,0.0206,0.4142,0.0313,0.0237,0.0047
0.1,phoneme,hgb,crcc_p_l05,0.7771,0.014,0.7931,0.0151,0.6273,0.0206,0.4142,0.0313,0.0237,0.0047
0.1,phoneme,hgb,crcc_p_l10,0.7771,0.014,0.7931,0.0151,0.6273,0.0206,0.4142,0.0313,0.0237,0.0047
0.1,phoneme,hgb,global_top_loss,0.6614,0.0163,0.6812,0.0205,0.3439,0.0265,0.6914,0.0322,0.2878,0.0293
0.1,phoneme,hgb,no_cleaning,0.6762,0.009,0.6985,0.0109,0.3812,0.017,0.0,0.0,0.0,0.0
0.1,phoneme,hgb,oracle_deletion,0.7418,0.0101,0.7707,0.0113,0.5124,0.0186,1.0,0.0,0.0,0.0
0.1,phoneme,hgb,random_deletion,0.6884,0.0167,0.7123,0.019,0.407,0.0352,0.1228,0.0169,0.1068,0.0219
0.1,phoneme,lr,class_proportional,0.6434,0.0152,0.6547,0.0161,0.3898,0.0367,0.3074,0.0104,0.0119,0.007
0.1,phoneme,lr,crcc_m,0.6575,0.0197,0.669,0.0207,0.4266,0.0407,0.2291,0.0163,0.0053,0.0057
0.1,phoneme,lr,crcc_p_l0,0.6434,0.0152,0.6547,0.0161,0.3898,0.0367,0.3074,0.0104,0.0119,0.007
0.1,phoneme,lr,crcc_p_l025,0.6434,0.0152,0.6547,0.0161,0.3898,0.0367,0.3074,0.0104,0.0119,0.007
0.1,phoneme,lr,crcc_p_l05,0.6434,0.0152,0.6547,0.0161,0.3898,0.0367,0.3074,0.0104,0.0119,0.007
0.1,phoneme,lr,crcc_p_l10,0.6434,0.0152,0.6547,0.0161,0.3898,0.0367,0.3074,0.0104,0.0119,0.007
0.1,phoneme,lr,global_top_loss,0.541,0.0086,0.5027,0.0144,0.0968,0.0163,0.6463,0.0487,0.3537,0.0487
0.1,phoneme,lr,no_cleaning,0.503,0.0038,0.4204,0.0082,0.0061,0.0077,0.0,0.0,0.0,0.0
0.1,phoneme,lr,oracle_deletion,0.5282,0.0101,0.4723,0.0208,0.0585,0.0223,1.0,0.0,0.0,0.0
0.1,phoneme,lr,random_deletion,0.5018,0.0019,0.4177,0.0042,0.0035,0.0038,0.1228,0.0169,0.1068,0.0219
0.1,pima,hgb,class_proportional,0.6158,0.0296,0.6183,0.0331,0.3612,0.0499,0.2591,0.0471,0.0364,0.0345
0.1,pima,hgb,crcc_m,0.6246,0.0375,0.6279,0.041,0.3821,0.072,0.1773,0.0373,0.0136,0.0124
0.1,pima,hgb,crcc_p_l0,0.6158,0.0296,0.6183,0.0331,0.3612,0.0499,0.2591,0.0471,0.0364,0.0345
0.1,pima,hgb,crcc_p_l025,0.6158,0.0296,0.6183,0.0331,0.3612,0.0499,0.2591,0.0471,0.0364,0.0345
0.1,pima,hgb,crcc_p_l05,0.6158,0.0296,0.6183,0.0331,0.3612,0.0499,0.2591,0.0471,0.0364,0.0345
0.1,pima,hgb,crcc_p_l10,0.6158,0.0296,0.6183,0.0331,0.3612,0.0499,0.2591,0.0471,0.0364,0.0345
0.1,pima,hgb,global_top_loss,0.5525,0.0291,0.513,0.0431,0.1403,0.0523,0.55,0.0566,0.4227,0.0635
0.1,pima,hgb,no_cleaning,0.5597,0.0336,0.5346,0.0475,0.1851,0.0584,0.0,0.0,0.0,0.0
0.1,pima,hgb,oracle_deletion,0.5747,0.0318,0.5502,0.0451,0.191,0.0572,1.0,0.0,0.0,0.0
0.1,pima,hgb,random_deletion,0.5483,0.0312,0.5195,0.0449,0.1701,0.0593,0.1273,0.0259,0.1136,0.0321
0.1,pima,lr,class_proportional,0.6993,0.0426,0.7101,0.0461,0.5075,0.0568,0.3364,0.0337,0.0364,0.038
