deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method,budget
22,0.5799402985074628,0.564625850340136,0.22388059701492538,0.7727272727272727,0.22727272727272727,pima,hgb,83,global_top_loss,0.05
22,0.6604179104477612,0.6687458526874586,0.43283582089552236,0.22727272727272727,0.0,pima,hgb,83,class_proportional,0.05
22,0.6396417910447761,0.6437847866419295,0.34328358208955223,1.0,0.0,pima,hgb,83,oracle_deletion,0.05
22,0.6604179104477612,0.6687458526874586,0.43283582089552236,0.22727272727272727,0.0,pima,hgb,83,crcc_p_l0,0.05
22,0.6604179104477612,0.6687458526874586,0.43283582089552236,0.22727272727272727,0.0,pima,hgb,83,crcc_p_l025,0.05
22,0.6604179104477612,0.6687458526874586,0.43283582089552236,0.22727272727272727,0.0,pima,hgb,83,crcc_p_l05,0.05
22,0.6604179104477612,0.6687458526874586,0.43283582089552236,0.22727272727272727,0.0,pima,hgb,83,crcc_p_l10,0.05
22,0.6798805970149254,0.6908212560386473,0.44776119402985076,0.13636363636363635,0.0,pima,hgb,83,crcc_m,0.05
0,0.5447619047619048,0.5084821930120211,0.10666666666666667,0.0,0.0,credit-g,lr,13,no_cleaning,0.05
31,0.5752380952380952,0.5604219948849105,0.17333333333333334,0.0967741935483871,0.03225806451612903,credit-g,lr,13,random_deletion,0.05
31,0.6038095238095238,0.6058724997536703,0.25333333333333335,0.7419354838709677,0.25806451612903225,credit-g,lr,13,global_top_loss,0.05
31,0.6019047619047619,0.604922900105354,0.26666666666666666,0.2903225806451613,0.03225806451612903,credit-g,lr,13,class_proportional,0.05
31,0.5580952380952381,0.5311120917917034,0.13333333333333333,1.0,0.0,credit-g,lr,13,oracle_deletion,0.05
31,0.6019047619047619,0.604922900105354,0.26666666666666666,0.2903225806451613,0.03225806451612903,credit-g,lr,13,crcc_p_l0,0.05
31,0.6019047619047619,0.604922900105354,0.26666666666666666,0.2903225806451613,0.03225806451612903,credit-g,lr,13,crcc_p_l025,0.05
31,0.6019047619047619,0.604922900105354,0.26666666666666666,0.2903225806451613,0.03225806451612903,credit-g,lr,13,crcc_p_l05,0.05
31,0.6019047619047619,0.604922900105354,0.26666666666666666,0.2903225806451613,0.03225806451612903,credit-g,lr,13,crcc_p_l10,0.05
31,0.6114285714285714,0.6168949334354947,0.28,0.22580645161290322,0.0,credit-g,lr,13,crcc_m,0.05
0,0.5266666666666666,0.46630987101235755,0.05333333333333334,0.0,0.0,credit-g,lr,29,no_cleaning,0.05
31,0.5133333333333333,0.43968560989837585,0.02666666666666667,0.03225806451612903,0.12903225806451613,credit-g,lr,29,random_deletion,0.05
31,0.5523809523809524,0.5257452574525745,0.13333333333333333,0.7096774193548387,0.2903225806451613,credit-g,lr,29,global_top_loss,0.05
