noise_level,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
high,yeast,hgb,crcc_p_l0,0.6285,0.0183,0.6184,0.0243,0.4131,0.0293,0.3633,0.0335,0.0275,0.0225
high,yeast,hgb,crcc_p_l025,0.6285,0.0183,0.6184,0.0243,0.4131,0.0293,0.3633,0.0335,0.0275,0.0225
high,yeast,hgb,crcc_p_l05,0.6285,0.0183,0.6184,0.0243,0.4131,0.0293,0.3633,0.0335,0.0275,0.0225
high,yeast,hgb,crcc_p_l10,0.6285,0.0183,0.6184,0.0243,0.4131,0.0293,0.3633,0.0335,0.0275,0.0225
high,yeast,hgb,global_top_loss,0.5927,0.0207,0.6056,0.0229,0.2557,0.0472,0.7578,0.0457,0.2147,0.0457
high,yeast,hgb,no_cleaning,0.591,0.0245,0.598,0.0233,0.2787,0.058,0.0,0.0,0.0,0.0
high,yeast,hgb,oracle_deletion,0.6113,0.0265,0.6281,0.0283,0.2852,0.0598,1.0,0.0,0.0,0.0
high,yeast,hgb,random_deletion,0.6013,0.0351,0.6108,0.0341,0.2852,0.0849,0.2385,0.044,0.0899,0.0314
high,yeast,lr,class_proportional,0.718,0.0154,0.724,0.0154,0.518,0.0443,0.5339,0.0402,0.0202,0.0209
high,yeast,lr,crcc_m,0.7292,0.0161,0.7314,0.0198,0.5443,0.0408,0.4422,0.0422,0.0092,0.0112
high,yeast,lr,crcc_p_l0,0.718,0.0154,0.724,0.0154,0.518,0.0443,0.5339,0.0402,0.0202,0.0209
high,yeast,lr,crcc_p_l025,0.718,0.0154,0.724,0.0154,0.518,0.0443,0.5339,0.0402,0.0202,0.0209
high,yeast,lr,crcc_p_l05,0.718,0.0154,0.724,0.0154,0.518,0.0443,0.5339,0.0402,0.0202,0.0209
high,yeast,lr,crcc_p_l10,0.718,0.0154,0.724,0.0154,0.518,0.0443,0.5339,0.0402,0.0202,0.0209
high,yeast,lr,global_top_loss,0.5854,0.011,0.6062,0.016,0.1869,0.0187,0.8771,0.0341,0.1156,0.0335
high,yeast,lr,no_cleaning,0.5161,0.0251,0.4877,0.0476,0.0361,0.0524,0.0,0.0,0.0,0.0
high,yeast,lr,oracle_deletion,0.5256,0.0285,0.5061,0.0532,0.059,0.062,1.0,0.0,0.0,0.0
high,yeast,lr,random_deletion,0.5128,0.0193,0.4821,0.0379,0.0295,0.0408,0.2385,0.044,0.0899,0.0314
low,credit-g,hgb,class_proportional,0.6051,0.0301,0.6099,0.0367,0.312,0.0615,0.1419,0.0265,0.0742,0.0184
low,credit-g,hgb,crcc_m,0.6171,0.0366,0.6233,0.0429,0.328,0.0792,0.1032,0.027,0.0226,0.0216
low,credit-g,hgb,crcc_p_l0,0.6051,0.0301,0.6099,0.0367,0.312,0.0615,0.1419,0.0265,0.0742,0.0184
low,credit-g,hgb,crcc_p_l025,0.6051,0.0301,0.6099,0.0367,0.312,0.0615,0.1419,0.0265,0.0742,0.0184
low,credit-g,hgb,crcc_p_l05,0.6051,0.0301,0.6099,0.0367,0.312,0.0615,0.1419,0.0265,0.0742,0.0184
low,credit-g,hgb,crcc_p_l10,0.6051,0.0301,0.6099,0.0367,0.312,0.0615,0.1419,0.0265,0.0742,0.0184
low,credit-g,hgb,global_top_loss,0.5524,0.0146,0.5219,0.0262,0.1253,0.036,0.3032,0.0785,0.6548,0.091
low,credit-g,hgb,no_cleaning,0.5811,0.019,0.5724,0.0274,0.2,0.034,0.0,0.0,0.0,0.0
low,credit-g,hgb,oracle_deletion,0.5981,0.0246,0.5962,0.0316,0.2293,0.037,1.0,0.0,0.0,0.0
low,credit-g,hgb,random_deletion,0.5804,0.023,0.57,0.0358,0.1973,0.052,0.0613,0.031,0.1065,0.0216
low,credit-g,lr,class_proportional,0.6442,0.0233,0.6542,0.0258,0.4027,0.0528,0.1419,0.0265,0.0871,0.0088
low,credit-g,lr,crcc_m,0.6459,0.0183,0.6562,0.0211,0.4107,0.0304,0.1097,0.035,0.0258,0.0144
low,credit-g,lr,crcc_p_l0,0.6442,0.0233,0.6542,0.0258,0.4027,0.0528,0.1419,0.0265,0.0871,0.0088
low,credit-g,lr,crcc_p_l025,0.6442,0.0233,0.6542,0.0258,0.4027,0.0528,0.1419,0.0265,0.0871,0.0088
low,credit-g,lr,crcc_p_l05,0.6442,0.0233,0.6542,0.0258,0.4027,0.0528,0.1419,0.0265,0.0871,0.0088
