deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,budget,target_ratio,method
0,0.7664463246959281,0.7480770892749113,0.639344262295082,,,0.0,0.0,,yeast,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7524590163934426,0.6895917001338688,0.7049180327868853,,,0.0,109.0,,yeast,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5689317821258594,0.582181542682802,0.14754098360655737,,,0.0,0.0,,yeast,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
109,0.7710206240084612,0.778302911777488,0.6065573770491803,0.3486238532110092,0.027522935779816515,,,,yeast,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6706504494976203,0.7127346559526473,0.36065573770491804,,,0.0,109.0,,yeast,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.7727657324167108,0.7709786306263708,0.6229508196721312,,,0.0,0.0,,yeast,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.8161554732945531,0.7444822361380421,0.8032786885245902,,,0.0,109.0,,yeast,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5557641459545214,0.5605874625837155,0.11475409836065574,,,0.0,0.0,,yeast,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
109,0.7317821258593338,0.7379943502824858,0.5409836065573771,0.3853211009174312,0.01834862385321101,,,,yeast,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6394764674775251,0.6778115501519757,0.29508196721311475,,,0.0,109.0,,yeast,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.7547593865679534,0.7547593865679534,0.5901639344262295,,,0.0,0.0,,yeast,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7344526705446853,0.6765611049839819,0.6721311475409836,,,0.0,109.0,,yeast,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5229772607086198,0.5025792523576866,0.04918032786885246,,,0.0,0.0,,yeast,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
109,0.761078794288736,0.7791666666666667,0.5737704918032787,0.43119266055045874,0.01834862385321101,,,,yeast,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6508989952406135,0.6947730222864142,0.3114754098360656,,,0.0,109.0,,yeast,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.761078794288736,0.7791666666666667,0.5737704918032787,,,0.0,0.0,,yeast,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7669751454257007,0.7132015896347106,0.7049180327868853,,,0.0,109.0,,yeast,lr,29,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.6017186673717609,0.6304853041695146,0.21311475409836064,,,0.0,0.0,,yeast,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
109,0.7153886832363829,0.7241103888950093,0.5081967213114754,0.3394495412844037,0.06422018348623854,,,,yeast,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6560021152829191,0.689799331103679,0.3442622950819672,,,0.0,109.0,,yeast,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.7203595980962454,0.7247663110187895,0.5245901639344263,,,0.0,0.0,,yeast,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7305658381808566,0.7090547143632744,0.5901639344262295,,,0.0,109.0,,yeast,lr,31,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5820994182971972,0.6015037593984962,0.18032786885245902,,,0.0,0.0,,yeast,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
109,0.7616076150185087,0.738909920403805,0.639344262295082,0.4036697247706422,0.027522935779816515,,,,yeast,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6413537810682178,0.6680224518018385,0.32786885245901637,,,0.0,109.0,,yeast,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.75193019566367,0.7213145539906103,0.639344262295082,,,0.0,0.0,,yeast,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7575621364357483,0.6821869488536154,0.7377049180327869,,,0.0,109.0,,yeast,lr,37,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5377578001057641,0.5305027055332519,0.08196721311475409,,,0.0,0.0,,yeast,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
109,0.739846641988366,0.7546745079280217,0.5409836065573771,0.44036697247706424,0.0,,,,yeast,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6214701216287678,0.6540760919246028,0.26229508196721313,,,0.0,109.0,,yeast,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.7449497620306715,0.7449497620306715,0.5737704918032787,,,0.0,0.0,,yeast,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7783976731887889,0.7240308042355824,0.7213114754098361,,,0.0,109.0,,yeast,lr,41,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5673188789000528,0.579705453956951,0.14754098360655737,,,0.0,0.0,,yeast,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
109,0.7039661554732946,0.7108102564102564,0.4918032786885246,0.41284403669724773,0.009174311926605505,,,,yeast,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6461924907456372,0.6773913043478261,0.32786885245901637,,,0.0,109.0,,yeast,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.7073241671073507,0.7086943213425427,0.5081967213114754,,,0.0,0.0,,yeast,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7767847699629826,0.7212804180957046,0.7213114754098361,,,0.0,109.0,,yeast,lr,43,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5459545214172395,0.544608824859487,0.09836065573770492,,,0.0,0.0,,yeast,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
109,0.7184822845055526,0.7399228881878724,0.4918032786885246,0.3577981651376147,0.045871559633027525,,,,yeast,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6100475938656795,0.6375379939209727,0.2459016393442623,,,0.0,109.0,,yeast,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.7268112109994712,0.7375910131058873,0.5245901639344263,,,0.0,0.0,,yeast,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7273400317292438,0.70343725019984,0.5901639344262295,,,0.0,109.0,,yeast,lr,47,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.506583818085669,0.4709540173457699,0.01639344262295082,,,0.0,0.0,,yeast,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
109,0.7102855631940772,0.7324453602178231,0.47540983606557374,0.3944954128440367,0.045871559633027525,,,,yeast,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.6148863035430989,0.6466072729310248,0.2459016393442623,,,0.0,109.0,,yeast,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.7300370174510841,0.7442351252866609,0.5245901639344263,,,0.0,0.0,,yeast,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7504494976203067,0.7102776237310005,0.6557377049180327,,,0.0,109.0,,yeast,lr,53,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5088383838383839,0.43276772617720294,0.017676767676767676,,,0.0,0.0,,phoneme,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
337,0.6288156433444392,0.6391960214294296,0.3560606060606061,0.314540059347181,0.008902077151335312,,,,phoneme,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5619599132688138,0.545623373205042,0.16161616161616163,,,0.0,337.0,,phoneme,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.6694034586704745,0.6791235514528896,0.4696969696969697,,,0.0,0.0,,phoneme,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7464831561690201,0.7339140974168623,0.6919191919191919,,,0.0,337.0,,phoneme,lr,13,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5,0.413882863340564,0.0,,,0.0,0.0,,phoneme,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
337,0.6458382839852352,0.658645211175851,0.38287153652392947,0.32047477744807124,0.020771513353115726,,,,phoneme,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5602580147753856,0.5384361291686486,0.14357682619647355,,,0.0,337.0,,phoneme,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.6652699227434269,0.677007806930607,0.44584382871536526,,,0.0,0.0,,phoneme,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7369421605437003,0.7099039760663964,0.7380352644836272,,,0.0,337.0,,phoneme,lr,17,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
0,0.5037783375314862,0.4219222415291051,0.007556675062972292,,,0.0,0.0,,phoneme,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,no_cleaning
337,0.6351527969202985,0.64474526971442,0.3929471032745592,0.29673590504451036,0.026706231454005934,,,,phoneme,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,class_proportional
0,0.5563938659442675,0.5411103365367516,0.16624685138539042,,,0.0,337.0,,phoneme,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,msbs
0,0.6783026788967572,0.6857513125539975,0.5012594458438288,,,0.0,0.0,,phoneme,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms
0,0.7393277146734683,0.723268979695264,0.6977329974811083,,,0.0,337.0,,phoneme,lr,23,hidden_minority_medium,0.3,0.1,0.1,0.15,cwms_msbs
