deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method
62,0.5961904761904762,0.6006744165409531,0.30666666666666664,0.27419354838709675,0.03225806451612903,credit-g,lr,29,crcc_p_l10
62,0.6095238095238095,0.6162280701754386,0.3333333333333333,0.1774193548387097,0.03225806451612903,credit-g,lr,29,crcc_m
0,0.5142857142857142,0.44940476190476186,0.04,0.0,0.0,credit-g,lr,47,no_cleaning
62,0.5247619047619048,0.472710987836237,0.06666666666666667,0.16129032258064516,0.04838709677419355,credit-g,lr,47,random_deletion
62,0.5457142857142857,0.514748899641871,0.12,0.6129032258064516,0.3870967741935484,credit-g,lr,47,global_top_loss
62,0.6000000000000001,0.6037296037296037,0.28,0.24193548387096775,0.04838709677419355,credit-g,lr,47,class_proportional
62,0.518095238095238,0.46026374139339477,0.05333333333333334,1.0,0.0,credit-g,lr,47,oracle_deletion
62,0.6000000000000001,0.6037296037296037,0.28,0.24193548387096775,0.04838709677419355,credit-g,lr,47,crcc_p_l0
62,0.6000000000000001,0.6037296037296037,0.28,0.24193548387096775,0.04838709677419355,credit-g,lr,47,crcc_p_l025
62,0.6000000000000001,0.6037296037296037,0.28,0.24193548387096775,0.04838709677419355,credit-g,lr,47,crcc_p_l05
62,0.6000000000000001,0.6037296037296037,0.28,0.24193548387096775,0.04838709677419355,credit-g,lr,47,crcc_p_l10
62,0.599047619047619,0.6016741575705691,0.26666666666666666,0.1774193548387097,0.016129032258064516,credit-g,lr,47,crcc_m
0,0.5171428571428571,0.45127634625214225,0.04,0.0,0.0,credit-g,lr,61,no_cleaning
62,0.5342857142857143,0.48715726214209354,0.08,0.0967741935483871,0.06451612903225806,credit-g,lr,61,random_deletion
62,0.5657142857142857,0.5471014492753623,0.16,0.5161290322580645,0.4838709677419355,credit-g,lr,61,global_top_loss
62,0.6619047619047619,0.6746666666666667,0.4266666666666667,0.25806451612903225,0.08064516129032258,credit-g,lr,61,class_proportional
62,0.5780952380952381,0.5633950401676563,0.17333333333333334,1.0,0.0,credit-g,lr,61,oracle_deletion
62,0.6619047619047619,0.6746666666666667,0.4266666666666667,0.25806451612903225,0.08064516129032258,credit-g,lr,61,crcc_p_l0
62,0.6619047619047619,0.6746666666666667,0.4266666666666667,0.25806451612903225,0.08064516129032258,credit-g,lr,61,crcc_p_l025
62,0.6619047619047619,0.6746666666666667,0.4266666666666667,0.25806451612903225,0.08064516129032258,credit-g,lr,61,crcc_p_l05
62,0.6619047619047619,0.6746666666666667,0.4266666666666667,0.25806451612903225,0.08064516129032258,credit-g,lr,61,crcc_p_l10
62,0.6552380952380952,0.6675531914893618,0.41333333333333333,0.25806451612903225,0.016129032258064516,credit-g,lr,61,crcc_m
0,0.5428571428571429,0.5121951219512195,0.12,0.0,0.0,credit-g,lr,83,no_cleaning
62,0.5761904761904763,0.5646523716699156,0.18666666666666668,0.08064516129032258,0.12903225806451613,credit-g,lr,83,random_deletion
62,0.560952380952381,0.5459312885318871,0.17333333333333334,0.5161290322580645,0.4838709677419355,credit-g,lr,83,global_top_loss
62,0.6323809523809524,0.6422066094197242,0.37333333333333335,0.24193548387096775,0.08064516129032258,credit-g,lr,83,class_proportional
62,0.5780952380952381,0.5633950401676563,0.17333333333333334,1.0,0.0,credit-g,lr,83,oracle_deletion
62,0.6323809523809524,0.6422066094197242,0.37333333333333335,0.24193548387096775,0.08064516129032258,credit-g,lr,83,crcc_p_l0
62,0.6323809523809524,0.6422066094197242,0.37333333333333335,0.24193548387096775,0.08064516129032258,credit-g,lr,83,crcc_p_l025
62,0.6323809523809524,0.6422066094197242,0.37333333333333335,0.24193548387096775,0.08064516129032258,credit-g,lr,83,crcc_p_l05
62,0.6323809523809524,0.6422066094197242,0.37333333333333335,0.24193548387096775,0.08064516129032258,credit-g,lr,83,crcc_p_l10
62,0.6333333333333333,0.6426666666666667,0.38666666666666666,0.20967741935483872,0.03225806451612903,credit-g,lr,83,crcc_m
0,0.5371428571428571,0.5071398124467178,0.12,0.0,0.0,credit-g,hgb,13,no_cleaning
62,0.519047619047619,0.4866796621182586,0.10666666666666667,0.1774193548387097,0.0967741935483871,credit-g,hgb,13,random_deletion
