deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method,noise_level
62,0.6028571428571429,0.6085048192505349,0.32,0.11290322580645161,0.08064516129032258,credit-g,lr,29,crcc_p_l025,low
62,0.6028571428571429,0.6085048192505349,0.32,0.11290322580645161,0.08064516129032258,credit-g,lr,29,crcc_p_l05,low
62,0.6028571428571429,0.6085048192505349,0.32,0.11290322580645161,0.08064516129032258,credit-g,lr,29,crcc_p_l10,low
62,0.6266666666666667,0.6353809196980096,0.37333333333333335,0.06451612903225806,0.04838709677419355,credit-g,lr,29,crcc_m,low
0,0.5619047619047619,0.5392953929539295,0.14666666666666667,0.0,0.0,credit-g,lr,47,no_cleaning,low
62,0.5485714285714285,0.5173212709620476,0.12,0.04838709677419355,0.0967741935483871,credit-g,lr,47,random_deletion,low
62,0.539047619047619,0.5035304501323918,0.10666666666666667,0.3225806451612903,0.6612903225806451,credit-g,lr,47,global_top_loss,low
62,0.6571428571428571,0.6710526315789473,0.4,0.12903225806451613,0.08064516129032258,credit-g,lr,47,class_proportional,low
31,0.5885714285714285,0.5807567340949586,0.2,1.0,0.0,credit-g,lr,47,oracle_deletion,low
62,0.6571428571428571,0.6710526315789473,0.4,0.12903225806451613,0.08064516129032258,credit-g,lr,47,crcc_p_l0,low
62,0.6571428571428571,0.6710526315789473,0.4,0.12903225806451613,0.08064516129032258,credit-g,lr,47,crcc_p_l025,low
62,0.6571428571428571,0.6710526315789473,0.4,0.12903225806451613,0.08064516129032258,credit-g,lr,47,crcc_p_l05,low
62,0.6571428571428571,0.6710526315789473,0.4,0.12903225806451613,0.08064516129032258,credit-g,lr,47,crcc_p_l10,low
62,0.6714285714285714,0.6853333333333333,0.44,0.0967741935483871,0.016129032258064516,credit-g,lr,47,crcc_m,low
0,0.540952380952381,0.49919871794871795,0.09333333333333334,0.0,0.0,credit-g,lr,61,no_cleaning,low
62,0.5514285714285714,0.5199131669032312,0.12,0.06451612903225806,0.08064516129032258,credit-g,lr,61,random_deletion,low
62,0.5628571428571428,0.5442656732979314,0.16,0.25806451612903225,0.7258064516129032,credit-g,lr,61,global_top_loss,low
62,0.6495238095238095,0.6604702487055428,0.41333333333333333,0.16129032258064516,0.0967741935483871,credit-g,lr,61,class_proportional,low
31,0.5980952380952381,0.5938580861544911,0.21333333333333335,1.0,0.0,credit-g,lr,61,oracle_deletion,low
62,0.6495238095238095,0.6604702487055428,0.41333333333333333,0.16129032258064516,0.0967741935483871,credit-g,lr,61,crcc_p_l0,low
62,0.6495238095238095,0.6604702487055428,0.41333333333333333,0.16129032258064516,0.0967741935483871,credit-g,lr,61,crcc_p_l025,low
62,0.6495238095238095,0.6604702487055428,0.41333333333333333,0.16129032258064516,0.0967741935483871,credit-g,lr,61,crcc_p_l05,low
62,0.6495238095238095,0.6604702487055428,0.41333333333333333,0.16129032258064516,0.0967741935483871,credit-g,lr,61,crcc_p_l10,low
62,0.6361904761904762,0.646105010295127,0.38666666666666666,0.14516129032258066,0.016129032258064516,credit-g,lr,61,crcc_m,low
0,0.58,0.5715126243892457,0.2,0.0,0.0,credit-g,lr,83,no_cleaning,low
62,0.5876190476190476,0.5843569319337949,0.22666666666666666,0.04838709677419355,0.12903225806451613,credit-g,lr,83,random_deletion,low
62,0.5761904761904761,0.572031344183243,0.22666666666666666,0.3548387096774194,0.5967741935483871,credit-g,lr,83,global_top_loss,low
62,0.6561904761904762,0.6631879511773341,0.4666666666666667,0.12903225806451613,0.0967741935483871,credit-g,lr,83,class_proportional,low
34,0.5761904761904763,0.5646523716699156,0.18666666666666668,1.0,0.0,credit-g,lr,83,oracle_deletion,low
62,0.6561904761904762,0.6631879511773341,0.4666666666666667,0.12903225806451613,0.0967741935483871,credit-g,lr,83,crcc_p_l0,low
62,0.6561904761904762,0.6631879511773341,0.4666666666666667,0.12903225806451613,0.0967741935483871,credit-g,lr,83,crcc_p_l025,low
62,0.6561904761904762,0.6631879511773341,0.4666666666666667,0.12903225806451613,0.0967741935483871,credit-g,lr,83,crcc_p_l05,low
62,0.6561904761904762,0.6631879511773341,0.4666666666666667,0.12903225806451613,0.0967741935483871,credit-g,lr,83,crcc_p_l10,low
62,0.6371428571428571,0.6430797691580704,0.44,0.0967741935483871,0.03225806451612903,credit-g,lr,83,crcc_m,low
0,0.5704761904761905,0.5587219564605663,0.18666666666666668,0.0,0.0,credit-g,hgb,13,no_cleaning,low
