dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std,deleted_mean,deleted_std
sick,hgb,oracle_deletion,0.9054276251704657,0.035891661147146356,0.9334246386655624,0.020836380432382895,0.8137931034482758,0.07253684126883664,1.0,0.0,0.0,0.0,283.0,0.0
sick,hgb,random_deletion,0.7859555815312682,0.04783872359598482,0.8229804789213361,0.04296463188393191,0.5827586206896551,0.09396156271337044,0.11519434628975263,0.017773535462840016,0.043816254416961097,0.009868720878988628,283.0,0.0
sick,lr,class_proportional,0.8490492889148646,0.04630453993880236,0.8077758574867024,0.039947456819995786,0.7344827586206897,0.09090638845837287,0.2819787985865724,0.015280387498543933,0.00141342756183744,0.001935415397544735,283.0,0.0
sick,lr,crcc_m,0.8513091759205142,0.04311800520474679,0.8190580347283596,0.04193415605644368,0.7344827586206897,0.08232645783664361,0.2134275618374558,0.01812138714481709,0.0,0.0,283.0,0.0
sick,lr,crcc_p_l0,0.8490492889148646,0.04630453993880236,0.8077758574867024,0.039947456819995786,0.7344827586206897,0.09090638845837287,0.2819787985865724,0.015280387498543933,0.00141342756183744,0.001935415397544735,283.0,0.0
sick,lr,crcc_p_l025,0.8490492889148646,0.04630453993880236,0.8077758574867024,0.039947456819995786,0.7344827586206897,0.09090638845837287,0.2819787985865724,0.015280387498543933,0.00141342756183744,0.001935415397544735,283.0,0.0
sick,lr,crcc_p_l05,0.8490492889148646,0.04630453993880236,0.8077758574867024,0.039947456819995786,0.7344827586206897,0.09090638845837287,0.2819787985865724,0.015280387498543933,0.00141342756183744,0.001935415397544735,283.0,0.0
sick,lr,crcc_p_l10,0.8490492889148646,0.04630453993880236,0.8077758574867024,0.039947456819995786,0.7344827586206897,0.09090638845837287,0.2819787985865724,0.015280387498543933,0.00141342756183744,0.001935415397544735,283.0,0.0
sick,lr,global_top_loss,0.6441788427819988,0.03164454648016214,0.700828348366677,0.037130807332320714,0.293103448275862,0.06334887265818562,0.9024734982332155,0.021868195684474574,0.09611307420494694,0.020815090424060982,283.0,0.0
sick,lr,no_cleaning,0.5024313267095266,0.004371385352741023,0.4902375983997208,0.008873924575213563,0.00689655172413792,0.009443492370778711,0.0,0.0,0.0,0.0,0.0,0.0
sick,lr,oracle_deletion,0.6703798947983636,0.024537549688377357,0.7329124372845155,0.02809450878776573,0.3448275862068965,0.048765984909417096,1.0,0.0,0.0,0.0,283.0,0.0
sick,lr,random_deletion,0.50760374050263,0.006114047777154229,0.5002362335590238,0.011603806100124962,0.0172413793103448,0.012191496227354248,0.11519434628975263,0.017773535462840016,0.043816254416961097,0.009868720878988628,283.0,0.0
