deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,mn_to_maj,maj_to_min,method
0,0.5346268656716417,0.5021479159410194,0.14925373134328357,,,0.0,0.0,,pima,hgb,23,hidden_minority_medium,0.3,0.1,no_cleaning
44,0.574089552238806,0.5421052631578948,0.16417910447761194,0.5454545454545454,0.45454545454545453,,,,pima,hgb,23,hidden_minority_medium,0.3,0.1,global_top_loss
44,0.6081791044776119,0.6086100266040148,0.3283582089552239,0.18181818181818182,0.11363636363636363,,,,pima,hgb,23,hidden_minority_medium,0.3,0.1,class_proportional
0,0.6204179104477612,0.6242424242424243,0.43283582089552236,,,44.0,0.0,0.09090909090909091,pima,hgb,23,hidden_minority_medium,0.3,0.1,balanced_oof_relabel
0,0.6473432835820896,0.6529570318693516,0.4626865671641791,,,44.0,0.0,0.09090909090909091,pima,hgb,23,hidden_minority_medium,0.3,0.1,unbalanced_oof_relabel
0,0.566865671641791,0.5576820839978734,0.2537313432835821,,,44.0,0.0,0.045454545454545456,pima,hgb,23,hidden_minority_medium,0.3,0.1,shuffled_score_relabel
0,0.5314029850746268,0.5215565796210957,0.23880597014925373,,,44.0,0.0,0.0,pima,hgb,23,hidden_minority_medium,0.3,0.1,inverted_score_relabel
0,0.5567164179104478,0.5548443980015021,0.31343283582089554,,,44.0,0.0,0.0,pima,hgb,23,hidden_minority_medium,0.3,0.1,random_relabel
0,0.5346268656716417,0.5021479159410194,0.14925373134328357,,,0.0,0.0,,pima,hgb,23,hidden_minority_medium,0.3,0.1,class_weight_only
0,0.6001791044776119,0.600204813108039,0.3283582089552239,,,15.0,0.0,1.0,pima,hgb,23,hidden_minority_medium,0.3,0.1,oracle_relabel
0,0.5902686567164179,0.5884304801057113,0.4925373134328358,,,0.0,0.0,,pima,hgb,23,reverse_asymmetric,0.1,0.3,no_cleaning
44,0.568955223880597,0.5697153240460326,0.417910447761194,0.6590909090909091,0.11363636363636363,,,,pima,hgb,23,reverse_asymmetric,0.1,0.3,global_top_loss
44,0.6115820895522388,0.6042143838754008,0.5671641791044776,0.3409090909090909,0.09090909090909091,,,,pima,hgb,23,reverse_asymmetric,0.1,0.3,class_proportional
0,0.604358208955224,0.5814454041226303,0.6567164179104478,,,44.0,0.0,0.022727272727272728,pima,hgb,23,reverse_asymmetric,0.1,0.3,balanced_oof_relabel
0,0.6238208955223881,0.6014943960149439,0.6716417910447762,,,44.0,0.0,0.022727272727272728,pima,hgb,23,reverse_asymmetric,0.1,0.3,unbalanced_oof_relabel
0,0.5785074626865672,0.5622288955622289,0.5970149253731343,,,44.0,0.0,0.022727272727272728,pima,hgb,23,reverse_asymmetric,0.1,0.3,shuffled_score_relabel
0,0.5051940298507462,0.4906598872554438,0.5223880597014925,,,44.0,0.0,0.022727272727272728,pima,hgb,23,reverse_asymmetric,0.1,0.3,inverted_score_relabel
0,0.6227462686567165,0.5941026274606704,0.7014925373134329,,,44.0,0.0,0.0,pima,hgb,23,reverse_asymmetric,0.1,0.3,random_relabel
0,0.5902686567164179,0.5884304801057113,0.4925373134328358,,,0.0,0.0,,pima,hgb,23,reverse_asymmetric,0.1,0.3,class_weight_only
0,0.5862686567164179,0.5840749414519906,0.4925373134328358,,,5.0,0.0,1.0,pima,hgb,23,reverse_asymmetric,0.1,0.3,oracle_relabel
0,0.5887164179104478,0.5870967741935484,0.31343283582089554,,,0.0,0.0,,pima,hgb,23,symmetric,0.2,0.2,no_cleaning
44,0.6007164179104478,0.5994993742177722,0.31343283582089554,0.5681818181818182,0.2727272727272727,,,,pima,hgb,23,symmetric,0.2,0.2,global_top_loss
44,0.5497910447761194,0.5452210175145955,0.2835820895522388,0.25,0.09090909090909091,,,,pima,hgb,23,symmetric,0.2,0.2,class_proportional
0,0.6401194029850746,0.6380346412159774,0.5522388059701493,,,44.0,0.0,0.06818181818181818,pima,hgb,23,symmetric,0.2,0.2,balanced_oof_relabel
0,0.6131940298507462,0.6109822346204669,0.5223880597014925,,,44.0,0.0,0.045454545454545456,pima,hgb,23,symmetric,0.2,0.2,unbalanced_oof_relabel
0,0.5982686567164179,0.5971512160524838,0.4925373134328358,,,44.0,0.0,0.0,pima,hgb,23,symmetric,0.2,0.2,shuffled_score_relabel
0,0.516179104477612,0.515688445921004,0.3283582089552239,,,44.0,0.0,0.022727272727272728,pima,hgb,23,symmetric,0.2,0.2,inverted_score_relabel
0,0.5620298507462687,0.5629383536360281,0.3880597014925373,,,44.0,0.0,0.022727272727272728,pima,hgb,23,symmetric,0.2,0.2,random_relabel
0,0.5887164179104478,0.5870967741935484,0.31343283582089554,,,0.0,0.0,,pima,hgb,23,symmetric,0.2,0.2,class_weight_only
0,0.6100298507462687,0.6132553606237816,0.3880597014925373,,,11.0,0.0,1.0,pima,hgb,23,symmetric,0.2,0.2,oracle_relabel
0,0.6028656716417911,0.5936507936507937,0.2537313432835821,,,0.0,0.0,,pima,hgb,29,hidden_minority_medium,0.3,0.1,no_cleaning
44,0.5666268656716418,0.5298609670056028,0.14925373134328357,0.5681818181818182,0.4090909090909091,,,,pima,hgb,29,hidden_minority_medium,0.3,0.1,global_top_loss
44,0.6196417910447761,0.6218774833293024,0.34328358208955223,0.29545454545454547,0.022727272727272728,,,,pima,hgb,29,hidden_minority_medium,0.3,0.1,class_proportional
0,0.642268656716418,0.64562569213732,0.4925373134328358,,,44.0,0.0,0.20454545454545456,pima,hgb,29,hidden_minority_medium,0.3,0.1,balanced_oof_relabel
0,0.5860298507462687,0.5878787878787879,0.3880597014925373,,,44.0,0.0,0.18181818181818182,pima,hgb,29,hidden_minority_medium,0.3,0.1,unbalanced_oof_relabel
0,0.624955223880597,0.629439011837365,0.417910447761194,,,44.0,0.0,0.022727272727272728,pima,hgb,29,hidden_minority_medium,0.3,0.1,shuffled_score_relabel
0,0.5266268656716417,0.4954103980194249,0.14925373134328357,,,44.0,0.0,0.0,pima,hgb,29,hidden_minority_medium,0.3,0.1,inverted_score_relabel
0,0.6236417910447761,0.6261994159365875,0.34328358208955223,,,44.0,0.0,0.045454545454545456,pima,hgb,29,hidden_minority_medium,0.3,0.1,random_relabel
0,0.6028656716417911,0.5936507936507937,0.2537313432835821,,,0.0,0.0,,pima,hgb,29,hidden_minority_medium,0.3,0.1,class_weight_only
0,0.6161791044776119,0.6171150683972991,0.3283582089552239,,,22.0,0.0,1.0,pima,hgb,29,hidden_minority_medium,0.3,0.1,oracle_relabel
0,0.6331940298507462,0.6331940298507462,0.5223880597014925,,,0.0,0.0,,pima,hgb,29,reverse_asymmetric,0.1,0.3,no_cleaning
44,0.6084179104477612,0.6112512849266424,0.43283582089552236,0.6818181818181818,0.11363636363636363,,,,pima,hgb,29,reverse_asymmetric,0.1,0.3,global_top_loss
44,0.6315820895522388,0.6267301163566723,0.5671641791044776,0.38636363636363635,0.0,,,,pima,hgb,29,reverse_asymmetric,0.1,0.3,class_proportional
0,0.6696716417910448,0.6440016604400166,0.7313432835820896,,,44.0,0.0,0.06818181818181818,pima,hgb,29,reverse_asymmetric,0.1,0.3,balanced_oof_relabel
0,0.6392835820895522,0.6168514412416852,0.6865671641791045,,,44.0,0.0,0.045454545454545456,pima,hgb,29,reverse_asymmetric,0.1,0.3,unbalanced_oof_relabel
0,0.6408955223880597,0.6267643330046485,0.6417910447761194,,,44.0,0.0,0.022727272727272728,pima,hgb,29,reverse_asymmetric,0.1,0.3,shuffled_score_relabel
0,0.5806567164179104,0.5733333333333333,0.5373134328358209,,,44.0,0.0,0.0,pima,hgb,29,reverse_asymmetric,0.1,0.3,inverted_score_relabel
0,0.6008955223880597,0.5802407638024076,0.6417910447761194,,,44.0,0.0,0.022727272727272728,pima,hgb,29,reverse_asymmetric,0.1,0.3,random_relabel
0,0.6331940298507462,0.6331940298507462,0.5223880597014925,,,0.0,0.0,,pima,hgb,29,reverse_asymmetric,0.1,0.3,class_weight_only
0,0.6705074626865671,0.6673616209073557,0.5970149253731343,,,9.0,0.0,1.0,pima,hgb,29,reverse_asymmetric,0.1,0.3,oracle_relabel
0,0.6404179104477612,0.6462259576531437,0.43283582089552236,,,0.0,0.0,,pima,hgb,29,symmetric,0.2,0.2,no_cleaning
44,0.6201791044776119,0.6214084507042253,0.3283582089552239,0.7727272727272727,0.1590909090909091,,,,pima,hgb,29,symmetric,0.2,0.2,global_top_loss
44,0.707044776119403,0.7117558748736175,0.582089552238806,0.3181818181818182,0.022727272727272728,,,,pima,hgb,29,symmetric,0.2,0.2,class_proportional
0,0.6848955223880597,0.6777777777777778,0.6417910447761194,,,44.0,0.0,0.09090909090909091,pima,hgb,29,symmetric,0.2,0.2,balanced_oof_relabel
0,0.6768955223880597,0.6684701277771383,0.6417910447761194,,,44.0,0.0,0.06818181818181818,pima,hgb,29,symmetric,0.2,0.2,unbalanced_oof_relabel
0,0.5998805970149254,0.6015625,0.44776119402985076,,,44.0,0.0,0.06818181818181818,pima,hgb,29,symmetric,0.2,0.2,shuffled_score_relabel
0,0.540179104477612,0.5393939393939394,0.3283582089552239,,,44.0,0.0,0.022727272727272728,pima,hgb,29,symmetric,0.2,0.2,inverted_score_relabel
0,0.622268656716418,0.6234498989228494,0.4925373134328358,,,44.0,0.0,0.045454545454545456,pima,hgb,29,symmetric,0.2,0.2,random_relabel
0,0.6404179104477612,0.6462259576531437,0.43283582089552236,,,0.0,0.0,,pima,hgb,29,symmetric,0.2,0.2,class_weight_only
0,0.6433432835820896,0.6484848484848484,0.4626865671641791,,,15.0,0.0,1.0,pima,hgb,29,symmetric,0.2,0.2,oracle_relabel
0,0.5754029850746268,0.5633162142333089,0.23880597014925373,,,0.0,0.0,,pima,hgb,31,hidden_minority_medium,0.3,0.1,no_cleaning
44,0.562089552238806,0.5312012168274427,0.16417910447761194,0.5681818181818182,0.38636363636363635,,,,pima,hgb,31,hidden_minority_medium,0.3,0.1,global_top_loss
44,0.6380298507462687,0.6437126758662572,0.3880597014925373,0.3181818181818182,0.022727272727272728,,,,pima,hgb,31,hidden_minority_medium,0.3,0.1,class_proportional
0,0.6268059701492538,0.6294004105517939,0.47761194029850745,,,44.0,0.0,0.18181818181818182,pima,hgb,31,hidden_minority_medium,0.3,0.1,balanced_oof_relabel
0,0.614268656716418,0.6146541652937123,0.4925373134328358,,,44.0,0.0,0.1590909090909091,pima,hgb,31,hidden_minority_medium,0.3,0.1,unbalanced_oof_relabel
0,0.5743283582089552,0.5673239436619718,0.26865671641791045,,,44.0,0.0,0.0,pima,hgb,31,hidden_minority_medium,0.3,0.1,shuffled_score_relabel
0,0.5114029850746269,0.5031187790311877,0.23880597014925373,,,44.0,0.0,0.0,pima,hgb,31,hidden_minority_medium,0.3,0.1,inverted_score_relabel
0,0.616955223880597,0.6207467822097616,0.417910447761194,,,44.0,0.0,0.1590909090909091,pima,hgb,31,hidden_minority_medium,0.3,0.1,random_relabel
0,0.5754029850746268,0.5633162142333089,0.23880597014925373,,,0.0,0.0,,pima,hgb,31,hidden_minority_medium,0.3,0.1,class_weight_only
0,0.6593432835820896,0.6664951106536283,0.4626865671641791,,,19.0,0.0,1.0,pima,hgb,31,hidden_minority_medium,0.3,0.1,oracle_relabel
0,0.6259701492537313,0.6142942025294966,0.6119402985074627,,,0.0,0.0,,pima,hgb,31,reverse_asymmetric,0.1,0.3,no_cleaning
44,0.6254328358208956,0.611336032388664,0.6268656716417911,0.5454545454545454,0.18181818181818182,,,,pima,hgb,31,reverse_asymmetric,0.1,0.3,global_top_loss
44,0.6427462686567165,0.6179949154415829,0.7014925373134329,0.3409090909090909,0.09090909090909091,,,,pima,hgb,31,reverse_asymmetric,0.1,0.3,class_proportional
0,0.6016716417910448,0.5613099771515613,0.7313432835820896,,,44.0,0.0,0.06818181818181818,pima,hgb,31,reverse_asymmetric,0.1,0.3,balanced_oof_relabel
0,0.6027462686567164,0.5699300699300699,0.7014925373134329,,,44.0,0.0,0.06818181818181818,pima,hgb,31,reverse_asymmetric,0.1,0.3,unbalanced_oof_relabel
