deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,dataset,model,seed,method
150,0.6799999999999999,0.6712689020381328,0.6,0.2866666666666667,0.06,credit-g,hgb,13,crcc_m
0,0.618095238095238,0.6254548048797888,0.29333333333333333,0.0,0.0,credit-g,hgb,29,no_cleaning
150,0.5838095238095238,0.578075014483992,0.21333333333333335,0.12666666666666668,0.24666666666666667,credit-g,hgb,29,random_deletion
150,0.5828571428571429,0.5745668316831682,0.2,0.28,0.6066666666666667,credit-g,hgb,29,global_top_loss
150,0.6838095238095238,0.6997254632807137,0.4533333333333333,0.32,0.16,credit-g,hgb,29,class_proportional
105,0.638095238095238,0.6503496503496503,0.3333333333333333,1.0,0.0,credit-g,hgb,29,oracle_deletion
150,0.6838095238095238,0.6997254632807137,0.4533333333333333,0.32,0.16,credit-g,hgb,29,crcc_p_l0
150,0.6838095238095238,0.6997254632807137,0.4533333333333333,0.32,0.16,credit-g,hgb,29,crcc_p_l025
150,0.6838095238095238,0.6997254632807137,0.4533333333333333,0.32,0.16,credit-g,hgb,29,crcc_p_l05
150,0.6838095238095238,0.6997254632807137,0.4533333333333333,0.32,0.16,credit-g,hgb,29,crcc_p_l10
150,0.6838095238095239,0.6941521898703206,0.49333333333333335,0.29333333333333333,0.06666666666666667,credit-g,hgb,29,crcc_m
0,0.6038095238095238,0.6087997054491899,0.29333333333333333,0.0,0.0,credit-g,hgb,47,no_cleaning
150,0.6076190476190476,0.6136714844105081,0.30666666666666664,0.19333333333333333,0.18,credit-g,hgb,47,random_deletion
150,0.560952380952381,0.5459312885318871,0.17333333333333334,0.3333333333333333,0.54,credit-g,hgb,47,global_top_loss
150,0.6666666666666666,0.6726190476190477,0.49333333333333335,0.3,0.15333333333333332,credit-g,hgb,47,class_proportional
120,0.64,0.6520294540229885,0.36,1.0,0.0,credit-g,hgb,47,oracle_deletion
150,0.6666666666666666,0.6726190476190477,0.49333333333333335,0.3,0.15333333333333332,credit-g,hgb,47,crcc_p_l0
150,0.6666666666666666,0.6726190476190477,0.49333333333333335,0.3,0.15333333333333332,credit-g,hgb,47,crcc_p_l025
150,0.6666666666666666,0.6726190476190477,0.49333333333333335,0.3,0.15333333333333332,credit-g,hgb,47,crcc_p_l05
150,0.6666666666666666,0.6726190476190477,0.49333333333333335,0.3,0.15333333333333332,credit-g,hgb,47,crcc_p_l10
150,0.6847619047619047,0.6868435759572951,0.5466666666666666,0.26666666666666666,0.06,credit-g,hgb,47,crcc_m
0,0.6438095238095238,0.6561363031324874,0.37333333333333335,0.0,0.0,credit-g,hgb,61,no_cleaning
150,0.6066666666666667,0.6120799462701776,0.29333333333333333,0.14,0.22666666666666666,credit-g,hgb,61,random_deletion
150,0.559047619047619,0.5365270426395121,0.14666666666666667,0.4066666666666667,0.52,credit-g,hgb,61,global_top_loss
150,0.6733333333333333,0.6726693106131045,0.5466666666666666,0.3333333333333333,0.15333333333333332,credit-g,hgb,61,class_proportional
125,0.7066666666666667,0.7241320770732536,0.49333333333333335,1.0,0.0,credit-g,hgb,61,oracle_deletion
150,0.6733333333333333,0.6726693106131045,0.5466666666666666,0.3333333333333333,0.15333333333333332,credit-g,hgb,61,crcc_p_l0
150,0.6733333333333333,0.6726693106131045,0.5466666666666666,0.3333333333333333,0.15333333333333332,credit-g,hgb,61,crcc_p_l025
150,0.6733333333333333,0.6726693106131045,0.5466666666666666,0.3333333333333333,0.15333333333333332,credit-g,hgb,61,crcc_p_l05
150,0.6733333333333333,0.6726693106131045,0.5466666666666666,0.3333333333333333,0.15333333333333332,credit-g,hgb,61,crcc_p_l10
150,0.6657142857142857,0.6538454622286958,0.6,0.3333333333333333,0.05333333333333334,credit-g,hgb,61,crcc_m
0,0.5571428571428572,0.5539243365330322,0.24,0.0,0.0,credit-g,hgb,83,no_cleaning
150,0.6095238095238095,0.6162280701754386,0.3333333333333333,0.18666666666666668,0.16,credit-g,hgb,83,random_deletion
150,0.5619047619047619,0.5392953929539295,0.14666666666666667,0.30666666666666664,0.6066666666666667,credit-g,hgb,83,global_top_loss
