deleted,balanced_accuracy,accuracy,macro_f1,weighted_f1,minority_recall,minority_precision,majority_recall,pr_auc,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,noise_protocol,lamda,budget,target_ratio
0,0.7114285714285714,0.708,0.6839224787405394,0.7188174370875838,0.72,0.5094339622641509,0.7028571428571428,0.5346614952776825,,,0,62,,credit-g,lr,47,hidden_minority_medium,20,0.1,0.15
0,0.7,0.692,0.6696696696696697,0.7040240240240241,0.72,0.4909090909090909,0.68,0.530788674007601,,,0,62,,credit-g,lr,47,hidden_minority_medium,30,0.1,0.15
0,0.7085714285714286,0.72,0.6898043108338061,0.728516732841747,0.68,0.5257731958762887,0.7371428571428571,0.5424102677991696,,,0,62,,credit-g,lr,47,hidden_minority_medium,50,0.1,0.15
0,0.6761904761904762,0.696,0.661319073083779,0.7046702317290552,0.6266666666666667,0.49473684210526314,0.7257142857142858,0.533207790850382,,,0,62,,credit-g,lr,47,hidden_minority_medium,100,0.1,0.15
0,0.6361904761904762,0.64,0.6130297193175565,0.6538937809576225,0.6266666666666667,0.43119266055045874,0.6457142857142857,0.4642483694060269,,,0,62,,credit-g,lr,53,hidden_minority_medium,10,0.1,0.15
0,0.6409523809523809,0.652,0.6214692215318749,0.664470317965854,0.6133333333333333,0.4423076923076923,0.6685714285714286,0.4921783317056093,,,0,62,,credit-g,lr,53,hidden_minority_medium,20,0.1,0.15
0,0.6314285714285715,0.644,0.6127673645555962,0.6567569919420805,0.6,0.4326923076923077,0.6628571428571428,0.4982251215165873,,,0,62,,credit-g,lr,53,hidden_minority_medium,30,0.1,0.15
0,0.6533333333333333,0.664,0.633610161211529,0.6758182706399608,0.6266666666666667,0.4563106796116505,0.68,0.502184867379115,,,0,62,,credit-g,lr,53,hidden_minority_medium,50,0.1,0.15
0,0.6476190476190476,0.656,0.6267361111111112,0.6685416666666666,0.6266666666666667,0.44761904761904764,0.6685714285714286,0.5188341307933759,,,0,62,,credit-g,lr,53,hidden_minority_medium,100,0.1,0.15
0,0.755288207297726,0.8221024258760108,0.7186034752229475,0.8331423139456708,0.6557377049180327,0.47058823529411764,0.8548387096774194,0.5527073608379429,,,0,109,,yeast,lr,13,hidden_minority_medium,10,0.1,0.15
