deleted,balanced_accuracy,macro_f1,minority_recall,noise_precision_deleted,clean_minority_deletion_rate,n_relabeled,n_synthetic,relabel_correctness,dataset,model,seed,method,noise_level,mn_to_maj,maj_to_min
0,0.5972537313432835,0.5943661971830986,0.29850746268656714,,,44,0,0.022727272727272728,pima,lr,53,random_relabel,low,0.1,0.05
0,0.5074626865671642,0.41027550260610574,0.014925373134328358,,,0,0,,pima,lr,53,no_cleaning,medium,0.3,0.1
44,0.6311044776119403,0.6351449400545901,0.3582089552238806,0.38636363636363635,0.022727272727272728,0,0,,pima,lr,53,class_proportional,medium,0.3,0.1
0,0.6478805970149254,0.6541430777148739,0.44776119402985076,,,44,0,0.20454545454545456,pima,lr,53,balanced_oof_relabel,medium,0.3,0.1
0,0.550089552238806,0.5205244264086155,0.16417910447761194,,,44,0,0.1590909090909091,pima,lr,53,random_relabel,medium,0.3,0.1
0,0.5034626865671642,0.40814354727398205,0.014925373134328358,,,0,0,,pima,lr,53,no_cleaning,high,0.4,0.2
44,0.6145671641791045,0.6177836761778368,0.373134328358209,0.4090909090909091,0.06818181818181818,0,0,,pima,lr,53,class_proportional,high,0.4,0.2
0,0.6371940298507462,0.6376598867687147,0.5223880597014925,,,44,0,0.20454545454545456,pima,lr,53,balanced_oof_relabel,high,0.4,0.2
0,0.5610149253731344,0.539287754713388,0.19402985074626866,,,44,0,0.06818181818181818,pima,lr,53,random_relabel,high,0.4,0.2
0,0.5706268656716418,0.5334338863750628,0.14925373134328357,,,0,0,,pima,lr,59,no_cleaning,low,0.1,0.05
44,0.7211940298507462,0.7352941176470589,0.5223880597014925,0.25,0.06818181818181818,0,0,,pima,lr,59,class_proportional,low,0.1,0.05
0,0.7499701492537314,0.7597296959078963,0.6119402985074627,,,44,0,0.13636363636363635,pima,lr,59,balanced_oof_relabel,low,0.1,0.05
0,0.652179104477612,0.656938653960691,0.3283582089552239,,,44,0,0.0,pima,lr,59,random_relabel,low,0.1,0.05
0,0.5074626865671642,0.41027550260610574,0.014925373134328358,,,0,0,,pima,lr,59,no_cleaning,medium,0.3,0.1
44,0.6367164179104478,0.6381775856335218,0.31343283582089554,0.29545454545454547,0.09090909090909091,0,0,,pima,lr,59,class_proportional,medium,0.3,0.1
0,0.6833432835820896,0.6942269409422694,0.4626865671641791,,,44,0,0.22727272727272727,pima,lr,59,balanced_oof_relabel,medium,0.3,0.1
0,0.5223880597014925,0.4409463148316652,0.04477611940298507,,,44,0,0.045454545454545456,pima,lr,59,random_relabel,medium,0.3,0.1
0,0.5109253731343284,0.4234758871701547,0.029850746268656716,,,0,0,,pima,lr,59,no_cleaning,high,0.4,0.2
44,0.5943283582089552,0.5873975596430523,0.26865671641791045,0.3409090909090909,0.045454545454545456,0,0,,pima,lr,59,class_proportional,high,0.4,0.2
0,0.6334925373134328,0.6388476388476388,0.40298507462686567,,,44,0,0.18181818181818182,pima,lr,59,balanced_oof_relabel,high,0.4,0.2
0,0.5551641791044776,0.5139240506329115,0.13432835820895522,,,44,0,0.06818181818181818,pima,lr,59,random_relabel,high,0.4,0.2
0,0.6108656716417911,0.6019656019656019,0.2537313432835821,,,0,0,,pima,lr,61,no_cleaning,low,0.1,0.05
44,0.7281194029850746,0.7406073082861555,0.5522388059701493,0.18181818181818182,0.06818181818181818,0,0,,pima,lr,61,class_proportional,low,0.1,0.05
0,0.7507462686567165,0.7462927617090002,0.7014925373134329,,,44,0,0.06818181818181818,pima,lr,61,balanced_oof_relabel,low,0.1,0.05
0,0.6372537313432836,0.63718820861678,0.29850746268656714,,,44,0,0.022727272727272728,pima,lr,61,random_relabel,low,0.1,0.05
0,0.5447761194029851,0.48412104127207856,0.08955223880597014,,,0,0,,pima,lr,61,no_cleaning,medium,0.3,0.1
44,0.7171940298507462,0.7303987199164027,0.5223880597014925,0.3409090909090909,0.045454545454545456,0,0,,pima,lr,61,class_proportional,medium,0.3,0.1
0,0.7248955223880598,0.7248955223880598,0.6417910447761194,,,44,0,0.20454545454545456,pima,lr,61,balanced_oof_relabel,medium,0.3,0.1
0,0.5850149253731343,0.5619421206420365,0.19402985074626866,,,44,0,0.045454545454545456,pima,lr,61,random_relabel,medium,0.3,0.1
